,FullCV_01_idx,FullCV_01_flag,FullCV_02_idx,FullCV_02_flag,FullCV_03_idx,FullCV_03_flag,FullCV_04_idx,FullCV_04_flag,FullCV_05_idx,FullCV_05_flag,FullCV_06_idx,FullCV_06_flag,FullCV_07_idx,FullCV_07_flag,FullCV_08_idx,FullCV_08_flag,FullCV_09_idx,FullCV_09_flag,FullCV_10_idx,FullCV_10_flag
16,16,train,3191,test,2666,train,323,train,1803,train,353,train,3182,test,1269,train,2430,train,1898,train
17,17,train,52,train,648,train,487,train,787,train,2002,train,1941,train,1644,train,3260,test,1320,train
18,18,train,2070,train,2601,train,225,train,691,train,3534,test,129,train,3401,test,512,train,2459,train
19,19,train,2509,train,3753,test,2575,train,3736,test,251,train,2378,train,336,train,3238,test,932,train
20,20,train,3872,test,2632,train,3280,test,3952,test,975,train,2454,train,3338,test,1791,train,1047,train
21,21,train,2447,train,2435,train,1498,train,698,train,112,train,143,train,30,train,3900,test,2081,train
22,22,train,3671,test,3893,test,1026,train,678,train,2256,train,2707,train,2874,test,1616,train,1748,train
23,23,train,3809,test,2595,train,556,train,1191,train,2185,train,2233,train,870,train,2507,train,3788,test
24,24,train,194,train,1752,train,1186,train,3485,test,2653,train,3794,test,1273,train,959,train,53,train
25,25,train,3751,test,2050,train,1187,train,3069,test,3126,test,3852,test,545,train,2805,test,58,train
26,26,train,1149,train,1989,train,118,train,1826,train,936,train,2277,train,1216,train,1843,train,1936,train
27,27,train,1669,train,2627,train,322,train,637,train,55,train,1039,train,1752,train,3013,test,1783,train
28,28,train,2224,train,1284,train,2242,train,1881,train,1033,train,3658,test,639,train,2903,test,1978,train
29,29,train,2064,train,1028,train,2633,train,2135,train,3496,test,3681,test,2551,train,2235,train,3064,test
30,30,train,3788,test,1955,train,1664,train,653,train,327,train,1242,train,3637,test,3704,test,458,train
31,31,train,2087,train,752,train,826,train,1487,train,35,train,2797,test,317,train,536,train,2211,train
32,32,train,2583,train,303,train,1898,train,3552,test,3387,test,1180,train,715,train,3223,test,1997,train
33,33,train,2704,train,2687,train,3681,test,107,train,2556,train,3159,test,3339,test,720,train,1353,train
34,34,train,653,train,2233,train,3673,test,578,train,2706,train,2535,train,1744,train,2900,test,2498,train
35,35,train,1907,train,526,train,3046,test,3549,test,2157,train,2680,train,2130,train,1812,train,1569,train
36,36,train,2411,train,2032,train,2099,train,1496,train,3539,test,1689,train,104,train,660,train,3351,test
37,37,train,914,train,3687,test,1504,train,2254,train,1592,train,3543,test,3573,test,2783,test,3574,test
38,38,train,3503,test,810,train,3953,test,2706,train,1962,train,169,train,2533,train,729,train,2132,train
39,39,train,1674,train,1558,train,430,train,335,train,1722,train,3385,test,652,train,3300,test,1014,train
40,40,train,848,train,784,train,3419,test,2920,test,3559,test,3914,test,2192,train,2844,test,352,train
41,41,train,2555,train,2033,train,1996,train,1134,train,1561,train,2824,test,1506,train,1276,train,40,train
42,42,train,1244,train,3524,test,1551,train,838,train,2324,train,1014,train,3404,test,3754,test,1134,train
43,43,train,2375,train,114,train,1063,train,793,train,2334,train,588,train,2040,train,376,train,3877,test
44,44,train,994,train,1598,train,1043,train,2427,train,161,train,1639,train,196,train,3702,test,2875,test
45,45,train,2573,train,3217,test,3864,test,3592,test,771,train,1523,train,3582,test,182,train,1861,train
46,46,train,3862,test,386,train,336,train,3728,test,1352,train,3235,test,193,train,2538,train,2515,train
47,47,train,3037,test,1949,train,2930,test,2186,train,1641,train,1272,train,2239,train,1743,train,1568,train
48,48,train,1809,train,2727,train,2290,train,448,train,2851,test,2541,train,2628,train,1235,train,3044,test
49,49,train,96,train,1881,train,3687,test,3815,test,791,train,1489,train,248,train,3381,test,3152,test
50,50,train,509,train,2078,train,2085,train,3674,test,2288,train,2076,train,302,train,1698,train,1625,train
51,51,train,413,train,327,train,3262,test,1003,train,2354,train,78,train,2588,train,3375,test,3615,test
52,52,train,2682,train,3381,test,1241,train,82,train,3097,test,245,train,2584,train,3491,test,3217,test
53,53,train,1633,train,2652,train,3209,test,1497,train,536,train,1703,train,2034,train,976,train,665,train
54,54,train,3068,test,3240,test,2964,test,1083,train,1442,train,1926,train,2549,train,2137,train,2570,train
55,55,train,2926,test,155,train,2914,test,928,train,560,train,317,train,1653,train,3388,test,3422,test
56,56,train,3538,test,3652,test,3307,test,218,train,2558,train,3717,test,3565,test,3340,test,1124,train
57,57,train,162,train,3614,test,305,train,2125,train,905,train,2885,test,1636,train,3046,test,2940,test
58,58,train,2261,train,3551,test,1200,train,3301,test,2595,train,1902,train,2136,train,2449,train,1080,train
59,59,train,981,train,3926,test,2708,train,2377,train,1181,train,3738,test,3132,test,434,train,855,train
60,60,train,260,train,3468,test,3543,test,1209,train,155,train,3289,test,546,train,732,train,859,train
61,61,train,2065,train,948,train,648,train,657,train,2996,test,604,train,403,train,541,train,427,train
62,62,train,2728,train,2654,train,2724,train,2835,test,3087,test,1817,train,3124,test,1468,train,2412,train
63,63,train,2986,test,3610,test,2950,test,834,train,1477,train,8,train,411,train,2194,train,1786,train
64,64,train,547,train,794,train,2607,train,2730,train,588,train,3347,test,1178,train,1499,train,460,train
65,65,train,2748,train,2646,train,2765,train,713,train,2396,train,42,train,1811,train,3216,test,1053,train
66,66,train,2527,train,866,train,3170,test,899,train,1857,train,827,train,3487,test,1080,train,3171,test
67,67,train,1408,train,2366,train,2719,train,3824,test,745,train,3171,test,3844,test,3805,test,1654,train
68,68,train,3557,test,667,train,508,train,2490,train,1993,train,1617,train,2959,test,2077,train,2608,train
69,69,train,3653,test,2734,train,1929,train,773,train,3587,test,1119,train,2782,test,27,train,1584,train
70,70,train,3145,test,2729,train,215,train,204,train,47,train,3156,test,2236,train,2354,train,3435,test
71,71,train,228,train,460,train,3007,test,1991,train,694,train,2240,train,2639,train,2727,train,622,train
72,72,train,505,train,1411,train,3798,test,3752,test,1530,train,878,train,640,train,568,train,1814,train
73,73,train,1144,train,352,train,674,train,589,train,2648,train,1112,train,2101,train,2197,train,3524,test
74,74,train,2264,train,132,train,1567,train,3792,test,3146,test,2014,train,2625,train,394,train,2717,train
75,75,train,476,train,3387,test,3228,test,3206,test,402,train,3300,test,2760,train,3568,test,2437,train
76,76,train,1883,train,1089,train,3926,test,1796,train,3718,test,374,train,3883,test,989,train,2408,train
77,77,train,3485,test,2339,train,3052,test,2542,train,2861,test,294,train,1248,train,1574,train,1101,train
78,78,train,3860,test,3210,test,2189,train,3095,test,87,train,2019,train,11,train,2270,train,2261,train
79,79,train,1888,train,1092,train,3484,test,3550,test,2750,train,1202,train,3655,test,1894,train,1340,train
80,80,train,2250,train,3881,test,1869,train,1370,train,592,train,3661,test,265,train,3122,test,2918,test
81,81,train,504,train,1773,train,2467,train,2622,train,6,train,64,train,2745,train,1765,train,3041,test
82,82,train,778,train,1022,train,534,train,3751,test,198,train,342,train,2671,train,3782,test,217,train
83,83,train,1345,train,3470,test,3471,test,3398,test,1841,train,1034,train,191,train,2548,train,1929,train
84,84,train,3787,test,2093,train,536,train,2972,test,1237,train,3331,test,3447,test,1265,train,573,train
85,85,train,1685,train,1304,train,338,train,1601,train,1013,train,3358,test,1112,train,2055,train,307,train
86,86,train,284,train,1843,train,3605,test,12,train,3925,test,1945,train,2410,train,2626,train,846,train
87,87,train,3551,test,2921,test,542,train,3672,test,1353,train,3119,test,1577,train,2196,train,2401,train
88,88,train,760,train,83,train,2156,train,468,train,1137,train,981,train,29,train,697,train,1623,train
89,89,train,1947,train,985,train,2609,train,2890,test,2602,train,2519,train,1392,train,3537,test,584,train
90,90,train,2010,train,11,train,1004,train,356,train,229,train,1774,train,3813,test,3279,test,3452,test
91,91,train,3205,test,916,train,1559,train,2523,train,1302,train,1854,train,3434,test,414,train,1391,train
92,92,train,2081,train,3451,test,3675,test,1104,train,1448,train,483,train,841,train,2386,train,3907,test
93,93,train,1915,train,602,train,956,train,2035,train,3722,test,1387,train,3878,test,2682,train,1734,train
94,94,train,3542,test,2930,test,785,train,1232,train,2227,train,2705,train,1874,train,1345,train,3914,test
95,95,train,2907,test,1362,train,3766,test,1642,train,705,train,1206,train,102,train,1900,train,112,train
96,96,train,3710,test,1423,train,3460,test,3430,test,2410,train,485,train,2147,train,2545,train,3104,test
97,97,train,170,train,1775,train,3168,test,2150,train,3571,test,1594,train,2775,test,1359,train,745,train
98,98,train,2941,test,1733,train,177,train,3876,test,670,train,2296,train,3586,test,2660,train,498,train
99,99,train,1534,train,1104,train,2872,test,3158,test,3369,test,3620,test,2462,train,2291,train,2538,train
100,100,train,33,train,3606,test,1248,train,258,train,2530,train,32,train,3548,test,287,train,2218,train
101,101,train,599,train,343,train,3632,test,1753,train,346,train,980,train,2020,train,227,train,2713,train
102,102,train,3080,test,3094,test,546,train,2380,train,3376,test,2670,train,2520,train,1032,train,3220,test
103,103,train,916,train,3404,test,2853,test,3052,test,3790,test,610,train,3570,test,3261,test,1305,train
104,104,train,394,train,57,train,1860,train,2808,test,2333,train,3355,test,1621,train,1296,train,1394,train
105,105,train,3052,test,2264,train,2612,train,2361,train,3121,test,3308,test,947,train,1510,train,3183,test
106,106,train,3608,test,3046,test,839,train,889,train,3739,test,1626,train,1294,train,882,train,753,train
107,107,train,491,train,1071,train,148,train,3801,test,2742,train,676,train,2529,train,3783,test,2342,train
108,108,train,377,train,1645,train,3635,test,3350,test,3941,test,1685,train,2012,train,677,train,3330,test
109,109,train,3410,test,1839,train,1491,train,2904,test,2576,train,3627,test,1719,train,2597,train,2151,train
110,110,train,478,train,3835,test,71,train,2525,train,58,train,3221,test,1017,train,1460,train,1715,train
111,111,train,3156,test,817,train,1875,train,2182,train,3877,test,594,train,3009,test,2577,train,3062,test
112,112,train,180,train,3535,test,3519,test,2935,test,2389,train,2616,train,1709,train,3085,test,212,train
113,113,train,3018,test,154,train,3436,test,2134,train,3922,test,2644,train,343,train,2939,test,122,train
114,114,train,1533,train,3082,test,772,train,3950,test,3140,test,667,train,1713,train,2241,train,672,train
115,115,train,2266,train,1225,train,2766,train,1162,train,984,train,408,train,178,train,1980,train,643,train
116,116,train,2245,train,3917,test,2366,train,3749,test,3271,test,1019,train,3831,test,1884,train,440,train
117,117,train,2743,train,3085,test,2124,train,1978,train,1116,train,178,train,293,train,1662,train,1109,train
118,118,train,2663,train,1444,train,2011,train,2495,train,1067,train,2469,train,3617,test,2294,train,1689,train
119,119,train,1105,train,240,train,2498,train,443,train,2124,train,3087,test,1281,train,2789,test,2510,train
120,120,train,2127,train,3591,test,3592,test,3743,test,627,train,2036,train,50,train,1690,train,1828,train
121,121,train,2057,train,2928,test,2915,test,131,train,296,train,3689,test,1721,train,2091,train,1279,train
122,122,train,1620,train,2188,train,349,train,3908,test,1509,train,154,train,3862,test,3607,test,135,train
123,123,train,982,train,2080,train,3381,test,2747,train,2623,train,3510,test,2355,train,630,train,805,train
124,124,train,2828,test,1618,train,838,train,3675,test,1895,train,3692,test,896,train,518,train,472,train
125,125,train,3339,test,520,train,133,train,720,train,2907,test,1165,train,1397,train,1855,train,2650,train
126,126,train,1132,train,1651,train,3513,test,3270,test,808,train,2884,test,2449,train,2435,train,3096,test
127,127,train,3723,test,2184,train,735,train,1378,train,1934,train,3436,test,577,train,1848,train,1269,train
128,128,train,1598,train,3160,test,1034,train,1501,train,3569,test,2989,test,840,train,1442,train,229,train
129,129,train,1987,train,3130,test,3191,test,958,train,1812,train,2015,train,3258,test,705,train,3695,test
130,130,train,1079,train,2629,train,3929,test,2867,test,2582,train,2902,test,1109,train,3167,test,2957,test
131,131,train,401,train,1385,train,3267,test,2234,train,2242,train,2350,train,903,train,1641,train,2568,train
132,132,train,2592,train,3647,test,2811,test,2779,test,1930,train,2388,train,3614,test,1715,train,586,train
133,133,train,897,train,845,train,2989,test,189,train,2770,test,1903,train,3635,test,3879,test,410,train
134,134,train,2594,train,2502,train,2697,train,2203,train,244,train,3127,test,1172,train,3624,test,1600,train
135,135,train,268,train,883,train,3190,test,2289,train,2777,test,3739,test,3890,test,2852,test,1385,train
136,136,train,2372,train,2801,test,530,train,3399,test,3172,test,1311,train,2434,train,2286,train,1015,train
137,137,train,2696,train,1010,train,1723,train,2228,train,2684,train,3105,test,772,train,212,train,3840,test
138,138,train,901,train,1270,train,2427,train,3451,test,49,train,22,train,2026,train,3749,test,1224,train
139,139,train,633,train,1182,train,2528,train,2936,test,2953,test,1302,train,3733,test,1998,train,3297,test
140,140,train,3274,test,3120,test,2916,test,777,train,3604,test,2891,test,2186,train,3576,test,3292,test
141,141,train,119,train,2440,train,2281,train,310,train,1698,train,679,train,774,train,707,train,2596,train
142,142,train,593,train,2606,train,2425,train,2777,test,574,train,1923,train,574,train,2598,train,827,train
143,143,train,397,train,942,train,2223,train,2719,train,2221,train,1556,train,2739,train,3875,test,2653,train
144,144,train,692,train,1605,train,1230,train,305,train,698,train,3548,test,1600,train,3523,test,3893,test
145,145,train,1277,train,1863,train,2939,test,2568,train,2591,train,3217,test,1557,train,2579,train,2547,train
146,146,train,3118,test,1662,train,2450,train,3631,test,1347,train,1534,train,2168,train,2672,train,3327,test
147,147,train,1104,train,41,train,1451,train,3414,test,3879,test,138,train,3510,test,946,train,1549,train
148,148,train,2940,test,3518,test,3414,test,1152,train,2338,train,2722,train,1664,train,371,train,1587,train
149,149,train,3200,test,375,train,930,train,3184,test,1968,train,1722,train,1317,train,2346,train,3193,test
150,150,train,3711,test,661,train,3813,test,854,train,466,train,2717,train,2190,train,528,train,1479,train
151,151,train,1766,train,290,train,2757,train,1908,train,764,train,2943,test,2548,train,2524,train,2350,train
152,152,train,1968,train,748,train,2138,train,2945,test,2204,train,116,train,771,train,242,train,3210,test
153,153,train,248,train,2483,train,2358,train,2225,train,831,train,1573,train,40,train,80,train,329,train
154,154,train,3648,test,196,train,3354,test,3530,test,2808,test,1514,train,1847,train,3896,test,11,train
155,155,train,2396,train,1421,train,1522,train,271,train,3273,test,1671,train,3117,test,2029,train,30,train
156,156,train,186,train,1023,train,1156,train,960,train,2144,train,2480,train,3111,test,712,train,3173,test
157,157,train,2510,train,3087,test,3757,test,435,train,225,train,3497,test,157,train,3387,test,420,train
158,158,train,1092,train,627,train,7,train,2905,test,1604,train,789,train,487,train,3395,test,3559,test
159,159,train,1106,train,2772,test,1608,train,3710,test,420,train,1448,train,2464,train,1579,train,2823,test
160,160,train,3269,test,930,train,2081,train,972,train,3778,test,2441,train,2238,train,2596,train,1262,train
161,161,train,3207,test,2823,test,2689,train,140,train,1829,train,1183,train,1814,train,2289,train,2234,train
162,162,train,3706,test,2910,test,1718,train,2456,train,2136,train,939,train,1111,train,2725,train,328,train
163,163,train,3928,test,1654,train,1908,train,2938,test,1729,train,3864,test,2450,train,3380,test,1271,train
164,164,train,3746,test,3539,test,1662,train,677,train,1298,train,273,train,1836,train,338,train,3726,test
165,165,train,1760,train,976,train,179,train,3651,test,1577,train,2713,train,409,train,2047,train,1972,train
166,166,train,2692,train,2253,train,2570,train,3605,test,22,train,1669,train,2587,train,951,train,368,train
167,167,train,155,train,3121,test,2731,train,821,train,2417,train,582,train,10,train,206,train,2691,train
168,168,train,3389,test,60,train,3514,test,3162,test,2363,train,2714,train,428,train,538,train,1834,train
169,169,train,1136,train,1547,train,2117,train,2175,train,2864,test,3083,test,1627,train,3646,test,3169,test
170,170,train,557,train,475,train,3309,test,3850,test,1089,train,217,train,2717,train,3790,test,1413,train
171,171,train,652,train,2003,train,2076,train,2219,train,3109,test,1121,train,314,train,250,train,2486,train
172,172,train,134,train,2784,test,2961,test,3361,test,2270,train,3372,test,3747,test,2074,train,3578,test
173,173,train,828,train,3283,test,799,train,3653,test,1687,train,1214,train,289,train,3373,test,894,train
174,174,train,1865,train,903,train,3408,test,3689,test,2849,test,1864,train,2712,train,148,train,575,train
175,175,train,2932,test,292,train,3115,test,2726,train,847,train,623,train,1023,train,2926,test,2275,train
176,176,train,3151,test,1079,train,906,train,3897,test,3553,test,3730,test,3332,test,3184,test,1586,train
177,177,train,2112,train,2415,train,2041,train,648,train,2987,test,1555,train,1489,train,746,train,2873,test
178,178,train,2302,train,1393,train,3454,test,3257,test,1849,train,30,train,156,train,1739,train,1720,train
179,179,train,741,train,1193,train,1579,train,532,train,2618,train,1515,train,3094,test,1223,train,1276,train
180,180,train,1582,train,2035,train,468,train,1508,train,1295,train,1402,train,418,train,3335,test,414,train
181,181,train,1468,train,2751,train,723,train,502,train,2220,train,2813,test,1059,train,3477,test,2274,train
182,182,train,1314,train,2206,train,413,train,2530,train,3333,test,1150,train,1091,train,2758,train,201,train
183,183,train,356,train,2850,test,693,train,2571,train,1791,train,3192,test,373,train,2674,train,2776,test
184,184,train,2003,train,2520,train,643,train,3880,test,722,train,2622,train,1090,train,1165,train,118,train
185,185,train,977,train,1912,train,456,train,2532,train,434,train,170,train,329,train,1583,train,1970,train
186,186,train,1512,train,2026,train,1031,train,3585,test,1311,train,3778,test,2542,train,2582,train,718,train
187,187,train,1864,train,2265,train,38,train,2365,train,1694,train,2669,train,1363,train,3181,test,428,train
188,188,train,3737,test,2838,test,2282,train,2366,train,2044,train,148,train,2667,train,48,train,1037,train
189,189,train,474,train,2622,train,210,train,126,train,2605,train,379,train,1857,train,2637,train,1505,train
190,190,train,3153,test,1495,train,3195,test,2772,test,2494,train,3103,test,3729,test,14,train,431,train
191,191,train,2710,train,1369,train,582,train,3652,test,3173,test,634,train,2340,train,2470,train,2531,train
192,192,train,1530,train,877,train,3159,test,1956,train,2394,train,2841,test,264,train,3512,test,2708,train
193,193,train,1773,train,1756,train,1653,train,136,train,821,train,7,train,2824,test,1792,train,2835,test
194,194,train,3853,test,406,train,1553,train,3377,test,2624,train,2329,train,3514,test,586,train,3628,test
195,195,train,2523,train,3282,test,3135,test,598,train,3562,test,1630,train,998,train,706,train,3674,test
196,196,train,2342,train,586,train,469,train,1695,train,3547,test,3288,test,1438,train,3200,test,625,train
197,197,train,2092,train,3550,test,863,train,3180,test,1550,train,1906,train,3867,test,1742,train,1301,train
198,198,train,899,train,2855,test,1480,train,3166,test,1494,train,3026,test,3530,test,1169,train,3428,test
199,199,train,3462,test,1470,train,1479,train,375,train,3952,test,3206,test,728,train,1490,train,3627,test
200,200,train,2344,train,3886,test,2380,train,71,train,3503,test,2711,train,3282,test,1908,train,203,train
201,201,train,1459,train,2962,test,3653,test,3123,test,973,train,1693,train,2230,train,2792,test,3498,test
202,202,train,3249,test,3154,test,1854,train,1739,train,1963,train,3603,test,3796,test,385,train,1125,train
203,203,train,2984,test,2101,train,3445,test,1248,train,3067,test,844,train,0,train,3566,test,2841,test
204,204,train,2837,test,3433,test,1934,train,3297,test,3062,test,3850,test,1959,train,931,train,1631,train
205,205,train,450,train,2389,train,1173,train,772,train,3214,test,1446,train,2227,train,3725,test,2303,train
206,206,train,141,train,2177,train,3809,test,753,train,695,train,1253,train,471,train,1663,train,3197,test
207,207,train,105,train,2106,train,3889,test,2256,train,3589,test,554,train,2612,train,888,train,1935,train
208,208,train,646,train,1432,train,3699,test,1038,train,1655,train,2802,test,2314,train,1129,train,2686,train
209,209,train,3335,test,3773,test,1140,train,759,train,2771,test,1912,train,754,train,202,train,3916,test
210,210,train,2612,train,3039,test,808,train,398,train,1919,train,2373,train,951,train,2860,test,2362,train
211,211,train,2934,test,2713,train,2353,train,2151,train,11,train,2690,train,779,train,1245,train,3459,test
212,212,train,904,train,2417,train,1827,train,873,train,2830,test,2004,train,3370,test,1612,train,1837,train
213,213,train,2282,train,2165,train,507,train,2909,test,316,train,2530,train,3569,test,2187,train,3940,test
214,214,train,293,train,734,train,3420,test,1898,train,2559,train,3334,test,2650,train,594,train,3032,test
215,215,train,3652,test,2577,train,1299,train,3665,test,1240,train,3483,test,2772,test,3294,test,2086,train
216,216,train,1557,train,180,train,3227,test,2664,train,3282,test,1096,train,850,train,3,train,1868,train
217,217,train,843,train,3206,test,1251,train,1257,train,3768,test,2567,train,1348,train,3346,test,3123,test
218,218,train,1267,train,2554,train,2338,train,2783,test,3448,test,1934,train,2642,train,450,train,3441,test
219,219,train,273,train,1324,train,3574,test,749,train,1372,train,1499,train,765,train,3763,test,3380,test
220,220,train,3946,test,3429,test,389,train,2912,test,848,train,749,train,2486,train,1636,train,1414,train
221,221,train,17,train,639,train,5,train,1612,train,1536,train,1160,train,3175,test,901,train,2662,train
222,222,train,2670,train,1540,train,3179,test,3528,test,2098,train,3152,test,1441,train,3741,test,275,train
223,223,train,2133,train,129,train,829,train,3848,test,641,train,3941,test,2345,train,2982,test,2106,train
224,224,train,3844,test,2247,train,1279,train,2309,train,2761,train,2398,train,2014,train,3086,test,2363,train
225,225,train,3082,test,3133,test,1049,train,441,train,2824,test,2000,train,2073,train,3862,test,695,train
226,226,train,2991,test,449,train,1904,train,2844,test,3371,test,1371,train,2530,train,1322,train,3027,test
227,227,train,3356,test,1870,train,780,train,2183,train,259,train,2427,train,3306,test,2602,train,1051,train
228,228,train,2489,train,1300,train,2660,train,3767,test,1827,train,2285,train,709,train,900,train,2264,train
229,229,train,2291,train,1557,train,3452,test,229,train,868,train,849,train,452,train,2671,train,553,train
230,230,train,1454,train,2390,train,641,train,2768,test,1153,train,1541,train,2731,train,3311,test,1342,train
231,231,train,2817,test,3583,test,695,train,1087,train,2075,train,3399,test,2566,train,2366,train,2923,test
232,232,train,2105,train,2120,train,143,train,3419,test,2298,train,1045,train,895,train,1095,train,3489,test
233,233,train,805,train,2087,train,474,train,3172,test,2634,train,3562,test,2764,train,578,train,3105,test
234,234,train,1511,train,1755,train,2682,train,1109,train,3662,test,3378,test,2754,train,1131,train,1469,train
235,235,train,2493,train,956,train,1195,train,2192,train,2856,test,3008,test,2478,train,60,train,2597,train
236,236,train,2397,train,1310,train,2548,train,1685,train,494,train,3293,test,224,train,253,train,1084,train
237,237,train,3291,test,2534,train,1059,train,3225,test,1052,train,2301,train,480,train,3893,test,108,train
238,238,train,419,train,3765,test,904,train,2279,train,575,train,231,train,1828,train,696,train,289,train
239,239,train,1673,train,2943,test,830,train,1561,train,3817,test,2698,train,2829,test,994,train,3705,test
240,240,train,3857,test,1594,train,1018,train,1088,train,2501,train,609,train,1871,train,1026,train,2153,train
241,241,train,447,train,1567,train,2451,train,446,train,1238,train,2445,train,216,train,1325,train,2252,train
242,242,train,3281,test,3249,test,3390,test,3777,test,2763,train,2026,train,2706,train,3668,test,2049,train
243,243,train,1628,train,2690,train,3091,test,3659,test,3855,test,210,train,769,train,3945,test,2139,train
244,244,train,1732,train,3788,test,2086,train,2170,train,2072,train,1623,train,694,train,3188,test,2344,train
245,245,train,126,train,3257,test,1262,train,1155,train,2291,train,2407,train,3816,test,1277,train,366,train
246,246,train,2780,test,1931,train,3894,test,3034,test,3391,test,315,train,16,train,2740,train,153,train
247,247,train,2383,train,2459,train,402,train,1350,train,45,train,3540,test,3724,test,927,train,2500,train
248,248,train,2772,test,3613,test,3621,test,1810,train,3883,test,151,train,3609,test,3393,test,1032,train
249,249,train,12,train,3325,test,2411,train,3217,test,3261,test,361,train,301,train,812,train,3502,test
250,250,train,1316,train,828,train,565,train,631,train,3445,test,652,train,3861,test,2217,train,3661,test
251,251,train,3603,test,42,train,2229,train,1237,train,809,train,3081,test,2900,test,2594,train,3874,test
252,252,train,1437,train,376,train,3481,test,1818,train,788,train,2132,train,3659,test,875,train,3819,test
253,253,train,3195,test,2345,train,2561,train,2505,train,391,train,1533,train,475,train,3114,test,598,train
254,254,train,2076,train,1905,train,2245,train,1624,train,3163,test,3169,test,1889,train,437,train,205,train
255,255,train,3455,test,3197,test,1344,train,7,train,351,train,3600,test,703,train,3326,test,518,train
256,256,train,2667,train,2397,train,1229,train,1183,train,1697,train,2464,train,1658,train,2777,test,3577,test
257,257,train,1124,train,626,train,543,train,2549,train,2865,test,1554,train,738,train,1563,train,1937,train
258,258,train,938,train,2382,train,2549,train,3597,test,3853,test,2141,train,696,train,524,train,1451,train
259,259,train,2553,train,3736,test,828,train,1480,train,2339,train,825,train,361,train,3209,test,488,train
260,260,train,3639,test,950,train,3865,test,1984,train,2087,train,3926,test,324,train,2444,train,1016,train
261,261,train,3110,test,3870,test,8,train,763,train,1270,train,410,train,206,train,1949,train,1417,train
262,262,train,395,train,1720,train,2532,train,1316,train,2736,train,128,train,2148,train,2098,train,3927,test
263,263,train,1024,train,2984,test,343,train,2660,train,3915,test,1042,train,3685,test,3089,test,57,train
264,264,train,3806,test,2989,test,2520,train,2939,test,3660,test,3869,test,2081,train,883,train,1787,train
265,265,train,3225,test,1875,train,1492,train,2467,train,1319,train,1424,train,2263,train,737,train,924,train
266,266,train,289,train,2521,train,1619,train,3062,test,3185,test,2313,train,2889,test,3368,test,821,train
267,267,train,1418,train,543,train,2881,test,820,train,1761,train,3446,test,3022,test,312,train,1235,train
268,268,train,2368,train,2794,test,1381,train,3107,test,532,train,1537,train,807,train,2287,train,2450,train
269,269,train,1120,train,536,train,313,train,947,train,3646,test,2017,train,3291,test,2097,train,930,train
270,270,train,2281,train,3726,test,154,train,537,train,1974,train,3618,test,1238,train,942,train,1318,train
271,271,train,617,train,2871,test,1773,train,2473,train,3880,test,2485,train,1013,train,567,train,3419,test
272,272,train,1659,train,3898,test,3647,test,38,train,2426,train,922,train,3030,test,958,train,3945,test
273,273,train,35,train,117,train,2519,train,2447,train,2967,test,2045,train,901,train,554,train,1749,train
274,274,train,3158,test,999,train,2391,train,2387,train,3608,test,2621,train,1527,train,320,train,3560,test
275,275,train,1352,train,2721,train,538,train,879,train,1020,train,3905,test,659,train,2123,train,248,train
276,276,train,2801,test,2311,train,3662,test,3218,test,2671,train,2516,train,2998,test,117,train,3310,test
277,277,train,3835,test,461,train,2115,train,2432,train,2836,test,3238,test,1737,train,2887,test,3333,test
278,278,train,3332,test,85,train,1102,train,2011,train,1946,train,1700,train,1626,train,3470,test,2130,train
